Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team,HOF Probability,HOF Lock
Odis Allison,1971,1972,1,1,SF,GSW,36,1.9,67,1.3,45,0.3,10,0.0,0,0.0,0,21.8,0.0,54.1,0.0,4.7,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007015814026501685,0
Lance Allred,2007,2008,1,1,C,CLE,3,1.0,3,0.3,1,0.0,0,0.0,0,0.0,0,25.0,0.0,50.0,25.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011975230563071872,0
Darrell Allums,1980,1981,1,1,PF,DAL,22,2.7,59,3.0,65,1.1,25,0.2,5,0.4,8,34.3,0.0,59.1,34.3,5.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009042299544160601,0
Morris Almond,2007,2012,3,1,SG,UTA,38,3.1,119,1.2,46,0.3,12,0.3,12,0.1,4,38.1,29.2,74.3,41.2,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011704284380164357,0
Derrick Alston,1994,1997,3,1,C,PHI,139,5.4,751,3.8,525,0.7,94,0.7,95,0.6,87,48.9,14.3,48.7,49.0,11.7,0.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002374333000705573,0
Rafer Alston,1999,2010,11,1,PG,HOU,671,10.1,6799,2.8,1891,4.8,3202,1.2,813,0.2,105,38.3,35.4,72.9,46.1,13.2,3.0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006082841219285348,0
Peter Aluma,1998,1999,1,1,C,SAC,2,1.0,2,1.0,2,0.0,0,0.5,1,0.5,1,50.0,0.0,0.0,50.0,3.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001197516805800913,0
Jose Alvarado,2021,2022,1,0,PG,NOP,53,6.0,318,1.8,94,2.9,152,1.3,70,0.1,7,44.3,29.6,70.6,50.0,16.5,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007082976903858324,0
John Amaechi,1995,2003,5,1,C,ORL,294,6.2,1837,2.6,772,0.8,228,0.3,90,0.3,94,40.3,7.7,67.1,40.3,8.9,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012091345689456306,0
Ashraf Amaya,1995,1997,2,1,PF,MEM,85,4.5,379,4.2,355,0.4,36,0.3,29,0.2,13,45.5,50.0,63.3,45.7,11.5,0.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024517691497008207,0
Al-Farouq Aminu,2010,2021,11,0,PF,POR,711,7.5,5350,6.0,4280,1.2,879,1.0,678,0.6,397,42.0,33.2,74.6,47.8,12.2,2.5,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004575574745571937,0
Lou Amundson,2006,2016,10,1,PF,PHI,428,3.7,1564,3.6,1541,0.4,190,0.4,152,0.7,306,47.4,0.0,44.4,47.4,12.0,0.7,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001764213509021474,0
Bob Anderegg,1959,1960,1,1,SF,NYK,33,4.0,133,2.1,69,0.9,29,0.0,0,0.0,0,38.5,0.0,54.8,0.0,9.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011590846767410776,0
Chris Andersen,2001,2017,15,1,C,DEN,695,5.4,3755,5.0,3493,0.5,337,0.4,312,1.4,991,53.2,22.1,65.4,53.5,16.7,2.6,39.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0036505125602679916,0
David Andersen,2009,2011,2,1,PF,HOU,103,4.9,501,2.8,292,0.6,57,0.2,20,0.2,21,44.0,34.7,67.4,47.8,11.7,0.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002257139989940747,0
Alan Anderson,2005,2017,8,1,SF,CHO,330,7.3,2421,2.2,714,1.1,371,0.6,182,0.1,31,40.5,34.4,81.6,48.4,10.3,0.9,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020136282057851783,0
Antonio Anderson,2009,2010,1,1,SF,OKC,1,2.0,2,1.0,1,0.0,0,0.0,0,0.0,0,33.3,0.0,0.0,33.3,-1.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001184930222515496,0
Cliff Anderson,1967,1971,4,1,SG,LAL,84,3.0,253,1.3,107,0.9,72,0.0,0,0.0,0,35.4,0.0,58.5,35.4,10.6,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012702353541142707,0
Dan Anderson,1974,1976,2,1,SG,POR,95,3.7,347,1.0,91,1.7,166,0.4,36,0.0,3,47.2,0.0,84.6,0.0,12.3,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022839673669611503,0
Derek Anderson,1997,2008,11,1,SG,POR,615,12.0,7357,3.2,1988,3.4,2083,1.1,691,0.1,87,40.8,34.1,85.3,46.3,15.3,4.0,43.9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.010636237255978622,0
Dwight Anderson,1982,1983,1,1,PG,DEN,5,4.2,21,0.4,2,0.6,3,0.2,1,0.0,0,50.0,0.0,70.0,50.0,10.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011576126014250549,0
